,timestamp,visitorid,event,itemid,transactionid
1862285,1432225075873,624606,view,88432,
1221391,1441405284924,1248328,view,370042,
2004728,1432851170392,651005,view,292077,
837292,1439454847582,798942,view,43224,
741798,1438989767016,846377,view,373233,
2726496,1438293053202,383885,view,383857,
441946,1434960020057,661164,view,234050,
2636,1433141264221,847668,view,256473,
1425181,1442285439962,934259,view,317555,
2698201,1438218572864,1176366,view,416017,
1381007,1442089194633,1112056,view,102136,
990328,1440296756764,135850,view,138427,
633432,1438536605852,34869,view,118780,
2441409,1437226148666,772899,view,241782,
825173,1439379038483,931632,view,123548,
1311313,1441832216485,763141,view,73617,
1503437,1430855005568,1300618,view,426351,
1251014,1441568593619,406581,view,260650,
1005738,1440386140048,1374610,view,423786,
978687,1440193377168,510819,view,274226,
943184,1440035129629,1039254,view,358485,
1610144,1431313711779,687838,view,118693,
1858007,1432269512630,646072,view,308779,
1347753,1441935839318,867441,view,461686,
1484240,1430792440585,788318,view,198927,
650330,1438631940727,748591,view,131957,
174118,1433854792617,167124,view,6202,
1238134,1441465847803,166413,view,378527,
1630700,1431398307388,920869,view,224265,
2583029,1437721697666,1301098,view,195852,
1905516,1432589380115,1182947,view,290999,
2642526,1437973297911,1065355,view,145563,
1754405,1431874778976,679502,view,134255,
468895,1435093055565,1302774,view,429830,
1695910,1431650378544,34886,view,231755,
1131707,1440965480915,458369,view,293438,
1023767,1440467059389,1129233,view,322190,
1286061,1441769056017,313920,view,207816,
1483366,1430777643380,439943,view,119547,
1429180,1442308072945,294836,view,309711,
1887472,1432438816319,516897,view,61372,
1730822,1431810213716,840145,view,417262,
2164279,1436212143751,189040,view,81104,
2600779,1437854932976,760159,view,47707,
2680164,1438146300381,51738,view,78006,
2383511,1437076945447,1067902,view,441642,
1938145,1432494740897,320591,view,264338,
361741,1434665179256,43761,view,250526,
402895,1434829051209,498978,view,458949,
2244062,1436478851266,548773,view,385690,
1897545,1432379657587,62601,view,453390,
909586,1439875695327,169411,view,6692,
380393,1434705244548,127142,view,219512,
650325,1438632731463,687332,view,299645,
590337,1435729188547,217232,view,373603,
2533365,1437548291809,302753,view,274914,
1203763,1441275231236,1341117,addtocart,212578,
1273957,1441652619215,660812,view,416083,
39637,1433265997353,890845,view,217000,
2682641,1438120587319,757391,view,446534,
636673,1438537768870,1038223,view,369723,
1981648,1432758152871,796386,view,300252,
2705616,1438198267896,619573,view,397665,
1407247,1442259123465,608632,view,194729,
246051,1434086668203,1010984,view,303009,
1453031,1442411244434,423180,view,58962,
843562,1439501522781,1205093,view,142198,
1900651,1432614200327,434872,view,436399,
1988417,1432871249890,1037645,view,42819,
1508299,1430875525843,914289,view,67021,
1593001,1431173028993,1120106,view,131862,
2244593,1436502634343,688719,view,129356,
976480,1440174355945,114574,view,140963,
1203642,1441281376338,1377759,view,203850,
642572,1438655624238,916107,addtocart,448690,
1900299,1432571405223,1098103,view,329279,
2229240,1436452940952,826450,view,431989,
1250168,1441560657374,834755,view,147601,
508025,1435251731746,1308501,view,276548,
87183,1433430649324,1390438,view,441513,
568563,1435638772569,468647,view,88945,
1003149,1440354651773,239963,view,202143,
678932,1438707501423,732280,view,409497,
291071,1434312215580,592743,view,455570,
2655861,1438023274740,1329679,view,114866,
1262754,1441576402710,800552,view,432992,
914344,1439920958198,322384,view,380303,
1208702,1441310459253,1159736,view,464751,
2328646,1436817076836,406782,view,455699,
2387284,1437091387101,152570,view,381021,
1121314,1440880622463,852679,view,289298,
739057,1438990318478,353485,view,428103,
2020440,1432932708848,39655,view,136874,
1062975,1440621688385,679367,view,90240,
376090,1434744939106,530559,view,54058,
1504929,1430873971083,1301536,view,277689,
10848,1433196860359,1111359,view,2135,
941816,1440008832709,433846,view,14981,
1267556,1441661148388,502200,view,289473,
2015714,1432912622594,1404293,view,11487,
2186680,1436324954890,1041146,view,340659,
786547,1439189380266,433298,view,403517,
1176344,1441132465722,61442,view,51405,
1474320,1430701501295,883379,view,383715,
1284524,1441688083842,853068,view,308770,
447551,1434988605289,392315,view,226192,
1752398,1431924916852,1101242,view,90823,
2060315,1435785970383,47673,view,167803,
2264025,1436646689808,1021400,view,365993,
1315063,1441833736188,5484,view,41673,
2284739,1436586764124,653650,view,105632,
2622766,1437962757899,328290,view,237952,
1135452,1440973485676,564341,view,187992,
88737,1433457149342,1028639,view,343861,
1561932,1430987502381,396056,view,340123,
120254,1433570781574,1129731,view,96924,
1009617,1440391087352,572733,view,141395,
134306,1433732126093,35126,view,171815,
2448209,1437263897045,878684,view,102136,
2606284,1437847896626,790430,view,145979,
1871735,1432316438374,637829,view,107630,
1000792,1440296940527,374113,view,36995,
1659065,1431546255388,555366,view,61529,
1958225,1432658112159,434017,view,430924,
1293861,1441702715697,588586,view,361286,
1039641,1440538150157,942868,view,438759,
1351131,1442017000649,1226335,view,343943,
2454624,1437334825284,104218,view,208190,
512634,1435295390908,87253,view,61442,
2409007,1436995311534,595709,view,366776,
1177701,1441143529218,894900,view,311699,
1575569,1431104126325,1180620,view,276883,
1713109,1431722288423,968395,view,127751,
766018,1439103170769,1280061,view,455598,
935817,1440016963260,927590,view,68000,
2083775,1435888612268,890431,view,140864,
1568165,1431063199458,970753,view,271941,
888796,1439758311364,261055,view,330865,
116609,1433618708038,1162893,view,437803,
683099,1438744527924,1177926,view,456299,
2303444,1436737670834,600934,addtocart,82278,
734582,1438994190084,449316,view,80554,
117342,1433645527786,242441,view,408080,
1435827,1442357973270,1362942,view,17794,
2132435,1436038904068,54860,view,451871,
1426796,1442348222819,1280074,view,236997,
2554832,1437633779983,1117910,view,456611,
1127988,1440908842781,110685,view,264456,
1102886,1440766615133,845604,view,429226,
1132935,1440962004558,491506,view,166122,
772758,1439249225042,229157,view,227311,
1272174,1441664601925,790756,view,403757,
217549,1434183001033,1287771,view,392826,
372896,1434742508256,556935,view,111130,
299993,1434342557052,984679,view,308102,
1046561,1440558280650,841578,view,440707,
637147,1438542023566,1299310,view,316508,
1581739,1431128331447,817772,view,99594,
1600428,1431157405111,1189101,view,459300,
2441176,1437207402184,892496,view,445749,
1447702,1442460857253,357438,view,52440,
2619758,1437962623336,156200,view,84054,
114634,1433623734541,1397233,view,283829,
735304,1438971244036,651300,addtocart,375058,
712356,1438903227957,512135,view,34053,
1314064,1441863311675,793519,view,372229,
2092720,1435845488305,1109207,view,219886,
218924,1434176281299,1386712,view,335268,
1950631,1432652087047,1294922,view,282228,
2190029,1436318316804,63950,view,134118,
2076061,1435794282766,372949,view,63321,
1100774,1440797313134,276744,view,19045,
1181747,1441168707113,1076329,view,456160,
261719,1434411146681,1059920,view,315545,
1820146,1432051556388,863545,view,36310,
2618416,1437934198650,759514,view,359747,
2177162,1436240353481,6329,view,4932,
948361,1440018133724,1389385,view,396752,
2012956,1432962038699,1135032,view,367588,
2472930,1437423539560,300114,view,211574,
1390938,1442172387310,737014,view,21443,
492303,1435206267868,41986,view,230491,
590005,1435698969955,1077122,view,96803,
2487502,1437414531608,225785,view,34048,
676955,1438739614805,772150,addtocart,374243,
1832008,1432154921681,1105562,view,37029,
2735808,1438285784813,1179921,view,418919,
2168186,1436213428450,753673,view,454964,
2184799,1436251227713,859143,view,134620,
1865257,1432309829617,614884,view,426751,
2455368,1437371858749,1151676,view,127217,
2333795,1436818380412,535988,view,130423,
1961383,1432677588251,1258313,view,87277,
2424012,1437198719275,470615,view,236180,
2301184,1436709501314,1371407,view,164232,
1774184,1431968002235,1150375,view,101845,
2667622,1438047245765,1038991,view,202660,
1788368,1431976710267,1134694,view,325105,
2078023,1435785720710,992725,view,341498,
2405054,1436985795901,1312267,view,414704,
1646363,1431461951049,818916,view,394290,
2474123,1437446679118,1195034,view,363663,
2206273,1436391382438,1185730,view,81697,
1906765,1432598606052,1288024,view,62507,
1575992,1431132452841,450386,view,408139,
2598102,1437837381762,360889,view,399684,
2648169,1437972172523,450609,view,424506,
1400612,1442177570407,982295,view,175605,
944558,1440004198417,247235,view,455183,
1298247,1441742026419,921271,view,263182,
2508018,1437496643194,758315,view,381766,
1747449,1431894437621,785430,view,71780,
2219749,1436376012577,1066199,view,241555,
2524500,1437601855319,327130,view,199975,
1728102,1431834850279,262605,view,420565,
1562766,1431021340950,786143,view,179869,
1934716,1432463432205,1041642,view,14671,
1651191,1431448865614,811273,view,356056,
359643,1434640699378,139346,view,268335,
1217270,1441296524654,1142597,view,276566,
2127568,1436067812687,368748,view,121895,
874695,1439622738220,675354,view,3491,
1861096,1432226507580,1048533,view,213834,
462270,1435116014404,1197489,view,460658,
2437888,1437229377254,341730,view,250972,
2137948,1436137250500,531978,view,172279,
1160610,1441084039896,128423,view,228287,
2555290,1437666852460,514129,view,152398,
680617,1438736088647,419962,view,290999,
2492822,1437425647944,522808,view,370842,
269940,1434369188469,1059680,view,453235,
2526099,1437629825301,766244,transaction,344308,6226.0
1288129,1441753472526,371246,view,56751,
2133159,1436056332827,1038112,view,93092,
2742199,1438398679056,142197,view,82278,
225547,1434253555414,47614,view,259357,
2342439,1436824233947,62485,view,86761,
2715487,1438161170682,191433,view,442062,
1391127,1442197267046,327660,view,448332,
2130576,1436062761350,536825,view,361956,
867699,1439650980527,1093287,view,453537,
373443,1434726975151,1150890,view,308260,
2156675,1436223497553,386231,view,20395,
2578143,1437719041852,1040279,view,86439,
161670,1433782456157,33144,view,264445,
1082207,1440695919544,920223,view,230045,
95894,1433533178181,715234,view,64747,
2676864,1438080981239,544689,view,125064,
1068239,1440646784643,798472,view,275570,
706653,1438873084745,1027449,view,442112,
645870,1438612841882,138355,view,65578,
166157,1433805457015,440390,view,215849,
1737732,1431835707986,54791,view,369565,
2651737,1438021259236,1264839,view,196200,
20263,1433192541507,1012131,view,14296,
2174768,1436199644663,543933,view,183736,
93256,1433432801372,1241054,view,128292,
1020253,1440433352548,638482,view,394458,
371089,1434647203290,1393043,view,301657,
1765179,1431889595306,1257412,view,275317,
1885743,1432444812596,386203,view,461817,
1870968,1432276903047,1294318,view,294473,
1949799,1432688150880,636444,view,196296,
188960,1433904250675,324861,view,262528,
264118,1434382099876,371513,view,147294,
1491148,1430765381608,552734,view,463493,
1118047,1440832487363,261061,view,237422,
291205,1434312773910,259774,view,19196,
549977,1435497362078,819370,view,259078,
1248221,1441476868098,1248824,view,246215,
913046,1439928461031,118272,view,261165,
1587699,1431101450145,1324806,view,217673,
2148119,1436131971588,589114,view,310944,
2382438,1437051513847,768334,view,265082,
1277265,1441616009207,1205003,view,80754,
1453061,1442408422525,1112912,view,441642,
572817,1435604707750,155106,view,128596,
524889,1435435999581,600713,view,388137,
413698,1434915673006,65593,view,303915,
222917,1434260651359,911318,view,222667,
347072,1434566109554,95177,view,62141,
1629917,1431365843221,881470,view,337194,
1955591,1432667962564,216239,view,133814,
2314382,1436729577821,183632,view,446755,
1607024,1431269390191,14532,view,174538,
1683602,1431652468592,1012353,view,199697,
2116741,1435937065172,658403,view,228078,
550753,1435549314896,796617,view,323363,
517439,1435417614841,1013305,view,370653,
2688490,1438115262612,1293358,view,116190,
567340,1435641446377,828557,view,174538,
461944,1435068480822,340820,view,286004,
1269849,1441608139402,670381,view,184998,
1806670,1432083345268,560179,view,120515,
1458512,1442524763184,281822,view,204833,
2210164,1436386878805,632316,view,22972,
1256644,1441595450538,1269015,view,69678,
365109,1434655348275,125986,view,140416,
310925,1434495819692,32904,view,27287,
167297,1433785753954,395748,view,381352,
2687439,1438095691996,826564,view,26126,
190787,1433887122286,1053331,view,335975,
1225752,1441411561333,1114419,view,397236,
1470971,1430691791717,964672,view,416750,
784651,1439262988980,1116559,view,418163,
2748936,1438353468084,604452,view,137173,
930464,1439915683187,1126031,view,103571,
1972640,1432737208227,1404770,view,273406,
2242187,1436456057719,247590,view,168064,
2431812,1437165613004,459258,view,308866,
1713316,1431720844285,119071,view,273104,
955577,1440108186884,371283,view,233200,
1969314,1432752090775,262123,view,133055,
107723,1433510536929,1098190,view,126125,
1773602,1431987179455,121004,view,162745,
1570811,1431012640843,1171448,view,26172,
238818,1434060261728,604536,view,440129,
1110193,1440822867453,966571,view,357583,
2353909,1436858734983,154653,view,113718,
562713,1435541274229,541924,view,408832,
2188941,1436294088870,1082621,view,309695,
974057,1440216897334,459996,view,303039,
1727852,1431809820175,494155,view,132600,
774569,1439268270084,612787,view,402831,
1135802,1440988898335,420923,view,438412,
1706166,1431719126135,211437,view,392131,
292078,1434311648443,45732,view,427024,
1364453,1441981826178,642688,view,315004,
2464314,1437306215703,1281898,view,196421,
241807,1434084381757,582595,view,21185,
647832,1438642392923,987037,view,43739,
430880,1435000128568,535408,view,243355,
1257036,1441573881865,1118126,view,247650,
2193586,1436284676327,1099657,addtocart,207430,
1369589,1442020874077,1100134,view,367631,
1397555,1442199566625,421851,view,463907,
1870153,1432304520655,451799,view,92869,
1709265,1431714031823,184758,view,115757,
295300,1434293012310,15669,view,79846,
396165,1434816668344,80656,view,308828,
2223534,1436344969269,627380,view,246316,
1501001,1430766466738,633423,view,298009,
2075770,1435811492145,849945,view,305077,
906483,1439840429500,455344,view,101094,
398103,1434864624781,928784,view,98576,
363278,1434607591960,943801,view,322973,
1436789,1442370613645,940700,view,314579,
1785265,1431963439264,1372702,view,156546,
1566603,1430997176120,306757,view,92798,
2232651,1436422880982,302154,view,174380,
2508578,1437537192332,282273,view,114119,
1988055,1432847305728,785860,view,168527,
1985639,1432833287452,854140,view,259428,
2712624,1438215191210,1309526,view,257863,
1582241,1431135746053,1255692,view,215063,
2610251,1437843278801,1116861,view,344071,
1334403,1441942405562,781288,view,53106,
306984,1434493768694,610586,view,306867,
581290,1435592014543,628115,addtocart,157459,
2228864,1436480142005,979532,view,407077,
2618020,1437939428834,1380372,view,98421,
1430686,1442330259308,1307096,view,119575,
2526984,1437575760713,1367860,view,76005,
115378,1433650515873,1217786,view,442427,
216777,1434205634671,139450,view,209673,
1237603,1441515753560,116069,view,312642,
2076103,1435789611382,62844,view,222333,
806200,1439318341490,707859,view,295469,
1443532,1442439351953,115307,view,191566,
108482,1433525568439,1138270,view,408203,
2141188,1436150646360,204037,view,317444,
1460262,1442507432053,737329,transaction,252344,402.0
1397747,1442198632775,832013,view,302563,
1997323,1432871132945,1101880,view,215123,
2300075,1436685434786,208551,view,124590,
2023779,1432933205159,395725,view,145785,
198525,1433961971285,232321,view,453446,
715796,1438886863126,764222,view,29087,
437857,1434959113214,1075726,view,354233,
1810885,1432063324689,905824,view,222879,
1713751,1431741230247,1055418,view,242007,
1062620,1440636766021,246346,view,56653,
249481,1434164524334,1195318,view,37115,
496288,1435255833548,167450,view,239583,
2253593,1436619316298,1144941,view,69783,
1398598,1442173280890,37562,view,365881,
824462,1439386847595,911560,view,347901,
443972,1435020272578,1039505,view,179788,
2591960,1437871996431,564033,view,145787,
443170,1434989019660,1324179,view,158767,
2442777,1437263211031,1088423,view,351356,
4126,1433216165110,1230294,view,194597,
1888144,1432434065050,1139508,view,181202,
190487,1433878212101,217438,view,160322,
2471088,1437411163032,83974,view,3129,
389484,1434737767197,167523,view,260735,
2529673,1437602863949,1390787,view,55706,
128333,1433571910564,23005,view,222604,
2148909,1436125085362,461997,view,22443,
199271,1433967424517,964225,view,376283,
739480,1438960973524,166542,view,322459,
1660436,1431534341785,1181977,view,328896,
1356149,1441998955827,1297954,view,121614,
225220,1434258391050,495117,view,125751,
1458103,1442538794397,303431,view,243606,
952215,1439999887658,1161127,view,62599,
2728797,1438290108991,3631,view,389158,
1747402,1431895741889,1340970,view,248409,
1295975,1441728569670,780685,view,184465,
941533,1440006162867,553991,view,245633,
2284001,1436571732356,845441,view,169502,
1291983,1441736415644,378790,view,290361,
2185393,1436312314895,221434,view,164498,
271921,1434404615331,1221583,view,342016,
2149956,1436077360395,215632,view,391247,
848869,1439570959811,1332095,view,90219,
1624518,1431374130483,262659,view,447877,
1370898,1442066597093,1303183,view,325852,
1575755,1431110281315,819547,view,6586,
1184643,1441223202271,188270,view,339356,
26465,1433291108764,958944,view,153845,
1642383,1431451070584,1074951,view,252356,
1145936,1440993289114,249646,view,45569,
1341935,1441922537203,427362,view,64903,
643530,1438641373261,1271822,view,99647,
1537837,1430939916146,1322453,view,106495,
1374677,1442112039529,1218283,view,410928,
750197,1439091833141,543834,view,46502,
449790,1435044668769,689434,view,57912,
663186,1438634633106,1194274,view,63206,
477595,1435180208644,58420,view,271450,
130442,1433716323112,1313032,view,51378,
935600,1440028200668,1172529,view,415375,
953766,1440089528226,64919,view,258030,
1671679,1431569177612,1140460,view,331381,
723006,1438843845729,406054,view,245573,
241258,1434024751906,605394,view,296367,
2254674,1436674711545,1288428,view,38826,
1236971,1441517008445,497203,view,352788,
112782,1433541909364,211412,view,372318,
161873,1433767082644,445697,view,273940,
2615607,1437956121030,1036767,view,183371,
88154,1433476033089,135842,view,444603,
851813,1439616076496,559836,view,228599,
408469,1434941943171,1042648,view,121978,
1366078,1442019994112,1110568,view,254477,
1418553,1442255912864,1001257,view,76426,
259117,1434155911614,955465,view,225257,
1194449,1441229922044,532640,view,415832,
1641241,1431484627769,99860,view,232509,
2254012,1436666248165,912777,view,465283,
1314752,1441821462036,569171,view,388223,
1171180,1441145479996,629437,view,25844,
1368481,1441995310254,771313,view,103242,
1898819,1432436725007,304309,view,444593,
1935781,1432500575799,1013228,view,170473,
2621357,1437950475216,226992,view,127471,
2618485,1437936025999,436189,view,209725,
2146574,1436146807014,227277,view,181371,
447640,1434988861907,1359269,view,60198,
2596106,1437824039331,331296,view,3872,
830057,1439508167612,277221,view,40868,
2349407,1436898799533,423248,view,459936,
1219519,1441399449836,643110,view,140596,
134512,1433719371990,32685,view,331311,
2221762,1436393058664,376590,view,380116,
1509679,1430853680048,74426,view,67542,
2068247,1435761852848,342135,view,301212,
2727626,1438317070074,103971,view,390591,
80802,1433458990016,670335,view,238447,
1510819,1430854911038,78724,view,199166,
1205666,1441311610891,1270936,view,440438,
1023543,1440475386809,914113,view,346534,
860961,1439555435878,1096926,view,66016,
2165837,1436198292656,759930,view,359251,
603528,1435697551527,309196,view,294482,
1804516,1432096321160,912660,view,147,
440520,1435019771745,403023,view,237952,
686235,1438772449722,975041,view,164825,
274236,1434394323869,690114,view,211503,
2672751,1438143854415,172850,view,428554,
703632,1438801779207,1336835,view,206305,
176454,1433882828793,673572,view,288418,
2625368,1437949296568,30449,view,29690,
2158292,1436225403182,824968,view,184331,
2061156,1435738391975,383571,view,273872,
2581686,1437755714102,115259,view,240616,
1274462,1441671372766,416701,view,264456,
1409402,1442289950651,427919,view,272263,
2460760,1437348754478,211691,view,241555,
1140597,1440979042745,780011,view,145126,
232781,1434057137199,115456,view,208970,
540010,1435343624003,327642,view,283405,
277753,1434412648508,556822,addtocart,48030,
608668,1435700401055,1405555,view,108371,
1343218,1441936863843,10175,view,445105,
87624,1433415103156,53303,view,47448,
1057545,1440597019039,347866,view,341092,
2351586,1436933051850,1279691,view,71336,
1518179,1430878921614,36846,view,289546,
762299,1439171833104,1043100,view,120050,
1229999,1441402472077,1012603,view,186098,
1390272,1442156057004,98149,view,90240,
247287,1434140138692,91066,view,319517,
987327,1440195664848,316600,view,380196,
1139429,1440983555082,728554,view,124000,
371982,1434644653183,1161163,view,308102,
547570,1435360770397,1087445,view,407520,
2651634,1438046627009,338825,view,78333,
718598,1438893906226,722891,view,102131,
2349676,1436895540315,923429,view,406071,
1642405,1431453635478,575424,view,210962,
881656,1439741117008,1185408,view,142936,
104797,1433534856535,1053619,view,362414,
2608250,1437806546358,762934,view,347226,
394422,1434852456429,379002,view,447960,
382094,1434728637929,137509,view,271925,
1533427,1430959902187,457901,view,15320,
666962,1438719768506,814062,view,269557,
972552,1440142432547,812209,view,2206,
259183,1434154267080,133060,view,192875,
235070,1434081261311,496643,view,276217,
1351465,1441952974350,400370,view,123908,
2311126,1436695729727,1335553,view,105778,
723366,1438872501147,1335346,view,22178,
549423,1435532100304,406604,view,366710,
92770,1433455517465,108787,view,6617,
304978,1434517136784,512821,view,276839,
1637767,1431474050244,1336520,transaction,420367,9269.0
2751897,1438401215591,11855,view,37177,
641541,1438564455856,546737,view,60682,
384087,1434750646106,280275,view,357301,
1084436,1440710015986,303987,view,65420,
444967,1435033809149,633342,view,5538,
1092476,1440726138692,607636,view,63312,
1803220,1432066174573,733882,view,460083,
1863576,1432305465535,388556,view,61345,
2195357,1436334187526,811921,view,79150,
2511201,1437517198415,990342,view,175365,
1864565,1432332419850,643618,view,46910,
2252589,1436646472088,582642,view,306723,
2093448,1435878968839,839729,view,190122,
1845717,1432266218907,930842,view,233938,
1350484,1441910592836,1346622,view,163389,
644310,1438645595628,1360446,view,144540,
234296,1434046861049,1211076,view,389428,
742407,1439012600607,1396289,addtocart,60104,
1415580,1442250495890,319048,view,422992,
647467,1438628122900,279080,view,330070,
2513462,1437529957075,724141,view,139992,
1028413,1440461440226,645525,view,276566,
1433072,1442379016553,1081079,view,330506,
1001028,1440283021748,267806,view,11382,
657749,1438588422421,456410,view,248742,
2574313,1437756178508,33356,view,323916,
2357652,1436935292546,49214,view,411060,
188700,1433867473605,409324,view,92340,
2106555,1435908590842,508427,view,317674,
549655,1435536282277,724567,view,1376,
2279505,1436546746602,385818,view,241555,
756290,1439147631506,626424,view,455006,
2578345,1437723269777,1140798,view,324534,
1054553,1440522951235,1368357,view,255994,
2319118,1436799347932,64431,view,274220,
2100435,1435875533177,1135311,view,316172,
195754,1433951147270,1079464,view,452847,
1043983,1440535415577,847611,view,89871,
328824,1434547165147,563921,view,89116,
1113656,1440786836382,472333,view,97565,
264864,1434414495185,1295294,view,436234,
2303863,1436706807551,30933,view,285369,
2542336,1437664690088,245082,view,463852,
2143141,1436158348625,1043132,view,21054,
2121923,1436035023537,1395770,view,162287,
1751438,1431905535122,626808,view,63092,
2288225,1436556811758,182768,view,109578,
858364,1439605938222,968222,view,20710,
1449472,1442431358473,948068,view,126706,
951098,1440043872267,246649,view,343523,
2140139,1436139430866,1344002,view,153767,
2253560,1436600053689,1267164,view,237318,
37048,1433266735999,99950,view,219800,
1137568,1440970133425,1221180,view,98009,
392256,1434817467155,917841,view,375676,
1760776,1431910556319,1081936,view,361991,
1950214,1432658178292,618676,view,366551,
1164037,1441038653422,1283688,view,461496,
2158498,1436222721303,1150086,transaction,193518,7039.0
115510,1433644427302,622889,view,332816,
2074110,1435769502701,937669,view,278524,
2561120,1437686003906,168683,view,97112,
2382385,1437050737698,1352339,view,61639,
333858,1434557690105,614616,view,150385,
2478837,1437378658207,424076,view,77277,
1368254,1441981246376,1021688,view,302563,
1877379,1432335116681,263796,view,83175,
2306972,1436728903986,750823,view,425846,
1672694,1431531919068,734422,view,158905,
2284009,1436568797219,1132846,view,187413,
13796,1433183874693,79197,view,115120,
2053731,1433087628358,350566,view,49384,
1784802,1431993864512,364189,view,66448,
2124958,1436043368871,1329251,view,297903,
488627,1435178522336,894302,view,239514,
2580908,1437789621640,861299,view,290993,
95233,1433524606748,138131,addtocart,420960,
2403048,1437005207344,521432,addtocart,133209,
1235017,1441489383705,1099541,view,461190,
211195,1433948416272,23241,view,12561,
1126171,1440886786168,1110242,view,102266,
49855,1433395712216,541275,view,121377,
1890500,1432430496620,633147,view,457317,
1801161,1432081341504,1108897,view,450571,
1319356,1441827751050,1263212,view,262920,
2682998,1438107848728,328517,view,172999,
1945690,1432627595027,831757,view,21751,
1562847,1431021233894,1339286,view,3329,
1227313,1441347191427,1120970,view,326697,
1579911,1431074043783,324909,view,253088,
2010708,1432907866352,1313908,view,81347,
122530,1433630395804,404566,view,5411,
1762401,1431923274468,723933,view,60393,
363750,1434686187390,1329939,view,29173,
2080962,1435884983652,965409,view,209610,
555483,1435534753752,678383,view,402113,
2105262,1435961638924,375876,view,221084,
357818,1434666036518,180055,view,13292,
784822,1439247750706,378123,view,273116,
326035,1434502306800,604804,view,223067,
1021839,1440457112556,299728,view,106180,
2454861,1437327843091,316850,view,144706,
1785537,1431970394731,1260934,view,183670,
509394,1435246855803,1245561,view,406514,
227471,1434082104292,292631,view,40196,
1619804,1431324724929,1080025,view,432152,
674050,1438703177193,1208999,view,171108,
514740,1435417706138,1306786,view,290234,
482256,1435197906093,951392,view,274396,
2051993,1433100813217,1107083,view,256938,
2660450,1438029006486,244756,view,9877,
